"Anio";"Periodo";"Parametro";"Valor"
"2017";"Trimestre 3";"Agresión sexual con penetración";"1.061"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"236"
"2017";"Trimestre 3";"Hurtos";"536.284"
"2017";"Trimestre 3";"Robos con fuerza en domicilios. establecimientos y otras instalaciones";"110.274"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"45.833"
"2017";"Trimestre 3";"Secuestro";"49"
"2017";"Trimestre 3";"Sustracciones de vehículos";"32.473"
"2017";"Trimestre 3";"Total";"1.526.385"
"2017";"Trimestre 3";"Tráfico de drogas";"10.114"
"2018";"Trimestre 3";"Agresión sexual con penetración";"1.304"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"228"
"2018";"Trimestre 3";"Hurtos";"530.148"
"2018";"Trimestre 3";"Robos con fuerza en domicilios. establecimientos y otras instalaciones";"112.169"
"2018";"Trimestre 3";"Robos con violencia e intimidación";"43.818"
"2018";"Trimestre 3";"Secuestro";"54"
"2018";"Trimestre 3";"Sustracciones de vehículos";"26.637"
"2018";"Trimestre 3";"Total";"1.582.832"
"2018";"Trimestre 3";"Tráfico de drogas";"10.835"
"2019";"Trimestre 3";"Agresión sexual con penetración";"1.405"
"2019";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"249"
"2019";"Trimestre 3";"Hurtos";"529.192"
"2019";"Trimestre 3";"Robos con fuerza en domicilios. establecimientos y otras instalaciones";"105.064"
"2019";"Trimestre 3";"Robos con violencia e intimidación";"48.272"
"2019";"Trimestre 3";"Secuestro";"71"
"2019";"Trimestre 3";"Sustracciones de vehículos";"26.166"
"2019";"Trimestre 3";"Total";"1.644.917"
"2019";"Trimestre 3";"Tráfico de drogas";"12.693"
"2020";"Trimestre 3";"Agresión sexual con penetración";"1.226"
"2020";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"232"
"2020";"Trimestre 3";"Hurtos";"317.531"
"2020";"Trimestre 3";"Robos con fuerza en domicilios. establecimientos y otras instalaciones";"79.880"
"2020";"Trimestre 3";"Robos con violencia e intimidación";"34.466"
"2020";"Trimestre 3";"Secuestro";"56"
"2020";"Trimestre 3";"Sustracciones de vehículos";"19.062"
"2020";"Trimestre 3";"Total";"1.310.315"
"2020";"Trimestre 3";"Tráfico de drogas";"12.652"
"2021";"Trimestre 3";"Agresión sexual con penetración";"1.601"
"2021";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"206"
"2021";"Trimestre 3";"Hurtos";"349.433"
"2021";"Trimestre 3";"Robos con fuerza en domicilios. establecimientos y otras instalaciones";"75.448"
"2021";"Trimestre 3";"Robos con violencia e intimidación";"37.467"
"2021";"Trimestre 3";"Secuestro";"73"
"2021";"Trimestre 3";"Sustracciones de vehículos";"19.167"
"2021";"Trimestre 3";"Total";"1.421.344"
"2021";"Trimestre 3";"Tráfico de drogas";"13.944"
